TITLE: Bill of Materials
DATE: 02/06/2025
DESIGN: pc069c_toplevel
TEMPLATE: Z:\cad\tools\cadence_templates\spreadsheet-format.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,DNF
24AA025E48T-I/SN,IC2,1,24AA025E48T-I/SN,?,?,?,?,?,MICROCHIP,?
74LCX04MTC,IC9,1,74LCX04MTC,?,?,?,?,?,FAIRCHILD SEMICONDUCTOR,?
ADCMP604BKSZ,"IC6,IC7",2,ADCMP604BKSZ,?,?,?,?,?,ANALOG DEVICES,?
"CAPCERSMDCL2_0402-1.0NF,50V_GEN","C30,C34,C37,C41",4,CC0402_1NF_50V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0402-100NF,16V_GEN","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,C33,C36,C38,C39,C40,C42,C43,C44,C45,C46,C47,C48,C49,C50,C52,C53,C55,C56,C57,C58,C59,C60,C61,C62,C63,C69,C70,C71,C72,C107,C117",61,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0805-10UF,16V_GEN","C35,C51,C54,C64,C65,C66",6,CC0805_10UF_16V_10%_X5R,?,?,?,?,?,GENERIC,?
CON20P_SFP-1888247-1,J4,1,1888247-1,?,?,?,?,?,TYCO,?
CON3P-MTLW-103-07-L-S-250,"J3,J5,J6,J8,J10",5,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,?
CON400P_40ABCDEFGHJK-SEAM-40-03.5-S-10-2-A-K-TR,P1,1,SEAM-40-03.5-S-10-2-A-K-TR,?,?,?,?,?,SAMTEC,?
CON4P-MTLW-104-07-L-S-250,J11,1,MTLW-104-07-L-S-250,?,?,?,?,TRUE,SAMTEC,?
DS90LV028A_SOIC,IC8,1,08.DS90LV028ATM,?,?,?,?,?,NATIONAL SEMICONDUCTOR,?
"ELCAPTAN_SMD-22UF,10V",C12,1,T491A226K010A,?,?,?,?,?,KEMET,?
INDUCTANCE_LQH32C_23-4.7UH,"L1,L2",2,LQH32CN4R7M23,?,?,?,?,?,MURATA,?
LD3985M25R,"RG1,RG2",2,LD3985M25R,?,?,?,?,?,ST MICROELECTRONICS,?
LGL29K-G2J1-24,"LD1,LD2,LD3",3,LGL29K-G2J1-24,?,?,?,?,?,OSRAM,?
LM1117-MPX-1.8,REG1,1,LM1117MPX-1.8,?,?,?,?,?,NATIONAL SEMICONDUCTOR,?
MAX9381ESA_SMD-MAX9381ESA,U1,1,MAX9381ESA,?,?,?,?,?,?,?
PCOAX-U.FL-R-SMT-1(10),"J2,J7,J12,J13,J14,J15,PX1,PX2,PX3,PX4,PX5,PX6",12,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,?
"RSMD0402_0.0625W-XX,1%","R9,R14,R32,R33,R41,R60,R140,R411",8,R0402_XX_1%_0.063W,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-0R0,1%","R44,R58,R59",3,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-100,1%","R7,R8,R11,R18,R45,R46",6,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-150,1%","R5,R6",2,R0402_150R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-1K,1%","R10,R17,R19,R20,R21",5,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-2K,1%","R36,R38",2,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-3.0K,1%","R35,R37",2,R0402_3K0_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-4.7K,1%","R1,R13,R16,R22,R23,R24,R25,R28,R29,R39,R42,R43,R61,R103,R138,R142,R143,R242,R1328",19,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-750,1%","R50,R51,R56",3,R0402_750R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-1.2K,1%","R12,R52,R54,R57",4,R0603_1K2_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-100,1%","R2,R3,R15,R26,R30,R31,R40,R62",8,R0603_100R_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-33,1%","R27,R47,R48,R49",4,R0603_33R_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-820,1%","R4,R34,R53,R55",4,R0603_820R_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
SFP_CAGE-SP-74737-004,SFP1,1,74737-004,?,?,?,?,?,MOLEX,?
SI5395A-A-GM,IC3,1,Si5345A-A-GM,?,?,?,?,?,SILICON LABS,?
