Cross Section Report
Z:/cad/designs/uob-hep-pc069/hardware/Cadence/worklib/pc069b_toplevel/physical/pc069b_toplevel_16.brd
Tue Aug 22 16:52:53 2023

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
TOP,CONDUCTOR,COPPER,0.018,0,0,595900,1,0,,,0.2540,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L2_GND,PLANE,COPPER,0.035,0,0,596000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.36,0,0,0,4.5,0.035,,,,,
L3_SIGN,CONDUCTOR,COPPER,0.03048,0,0,596000,1,0,,,0.1270,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L4_SIGN,CONDUCTOR,COPPER,0.035,0,0,595900,1,0.035,,,0.2000,,
,DIELECTRIC,FR-4,0.36,0,0,0,4.5,0.035,,,,,
L5_PWR,PLANE,COPPER,0.035,0,0,595900,1,0.035,,Yes,,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
BOTTOM,CONDUCTOR,COPPER,0.018,0,0,595900,1,0,,,0.2540,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.61148 MM
